Store Code,Store Name,Item ID,Item Name,SKU,Barcode,Category,Item Type,Status,Cost Price ($),Selling Price ($),Stock Qty,Reorder Level,Unit,Channels
STORE-001,Main Store Downtown,ITEM-10016,Brownie Fudge,BRO-016,8850001016,Dessert,PHYSICAL,ACTIVE,0.75,2.75,55,12,Piece,POS;WEB
STORE-001,Main Store Downtown,ITEM-10017,Cold Brew Original,COL-017,8850001017,Beverages - Cold Brew,PHYSICAL,ACTIVE,0.95,3.85,140,25,Bottle,POS;WEB;APP
STORE-001,Main Store Downtown,ITEM-10018,Lemonade Sparkling,LEM-018,8850001018,Beverages - Juice,PHYSICAL,ACTIVE,0.65,3.00,90,15,Cup,POS;WEB
STORE-001,Main Store Downtown,ITEM-10019,Almond Croissant,ALM-019,8850001019,Bakery,PHYSICAL,ACTIVE,0.90,2.80,38,10,Piece,POS;WEB
STORE-001,Main Store Downtown,ITEM-10020,Reusable Coffee Mug,MUG-020,8850001020,Merchandise,PHYSICAL,ACTIVE,4.50,12.00,50,10,Item,POS;WEB
STORE-002,Siem Reap Branch,ITEM-1001,Espresso Single,ESP-001,8850001001,Beverages - Coffee,PHYSICAL,ACTIVE,0.60,2.50,140,30,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-1002,Iced Latte Large,LAT-002,8850001002,Beverages - Coffee,PHYSICAL,ACTIVE,0.90,3.75,110,25,Cup,POS;MESSENGER;WEB
STORE-002,Siem Reap Branch,ITEM-1003,Croissant Butter,CRO-003,8850001003,Bakery,PHYSICAL,ACTIVE,0.70,2.20,40,10,Piece,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-1004,Cappuccino Hot,CAP-004,8850001004,Beverages - Coffee,PHYSICAL,ACTIVE,0.80,3.25,75,15,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-1005,Americano Iced,AME-005,8850001005,Beverages - Coffee,PHYSICAL,ACTIVE,0.55,2.75,160,30,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-1006,Matcha Latte,MAT-006,8850001006,Beverages - Tea,PHYSICAL,ACTIVE,1.20,4.25,60,12,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-1007,Chocolate Muffin,MUF-007,8850001007,Bakery,PHYSICAL,ACTIVE,0.85,2.50,30,8,Piece,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-1009,Caramel Macchiato,CAR-009,8850001009,Beverages - Coffee,PHYSICAL,ACTIVE,1.00,4.00,80,15,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10010,Green Tea Frappe,GRE-010,8850001010,Beverages - Blended,PHYSICAL,ACTIVE,1.25,4.50,50,10,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10013,Mocha Iced,MOC-013,8850001013,Beverages - Coffee,PHYSICAL,ACTIVE,1.10,4.25,70,15,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10015,Tiramisu Slice,TIR-015,8850001015,Dessert,PHYSICAL,ACTIVE,1.50,4.50,20,5,Slice,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10017,Cold Brew Original,COL-017,8850001017,Beverages - Cold Brew,PHYSICAL,ACTIVE,0.95,3.85,90,15,Bottle,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10018,Lemonade Sparkling,LEM-018,8850001018,Beverages - Juice,PHYSICAL,ACTIVE,0.65,3.00,65,10,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10021,Mango Passion Smoothie,MAN-021,8850001021,Beverages - Blended,PHYSICAL,ACTIVE,1.10,4.25,85,15,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10022,Coconut Iced Coffee,COC-022,8850001022,Beverages - Coffee,PHYSICAL,ACTIVE,1.05,4.00,120,20,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10023,Banana Walnut Bread,BAN-023,8850001023,Bakery,PHYSICAL,ACTIVE,0.80,2.60,35,8,Slice,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10024,Thai Milk Tea,THA-024,8850001024,Beverages - Tea,PHYSICAL,ACTIVE,0.70,3.00,130,25,Cup,POS;MESSENGER
STORE-002,Siem Reap Branch,ITEM-10025,Chicken Caesar Wrap,CHI-025,8850001025,Food - Lunch,PHYSICAL,ACTIVE,1.90,5.25,28,6,Wrap,POS;MESSENGER
STORE-003,Battambang Outlet,ITEM-1001,Espresso Single,ESP-001,8850001001,Beverages - Coffee,PHYSICAL,ACTIVE,0.60,2.20,180,35,Cup,POS
STORE-003,Battambang Outlet,ITEM-1002,Iced Latte Large,LAT-002,8850001002,Beverages - Coffee,PHYSICAL,ACTIVE,0.90,3.50,130,25,Cup,POS
STORE-003,Battambang Outlet,ITEM-1003,Croissant Butter,CRO-003,8850001003,Bakery,PHYSICAL,ACTIVE,0.70,2.00,50,12,Piece,POS
STORE-003,Battambang Outlet,ITEM-1005,Americano Iced,AME-005,8850001005,Beverages - Coffee,PHYSICAL,ACTIVE,0.55,2.50,190,35,Cup,POS
STORE-003,Battambang Outlet,ITEM-1007,Chocolate Muffin,MUF-007,8850001007,Bakery,PHYSICAL,ACTIVE,0.85,2.25,40,10,Piece,POS
STORE-003,Battambang Outlet,ITEM-10012,Earl Grey Tea,EAR-012,8850001012,Beverages - Tea,PHYSICAL,ACTIVE,0.40,2.00,110,20,Cup,POS
STORE-003,Battambang Outlet,ITEM-10016,Brownie Fudge,BRO-016,8850001016,Dessert,PHYSICAL,ACTIVE,0.75,2.50,45,10,Piece,POS
STORE-003,Battambang Outlet,ITEM-10024,Thai Milk Tea,THA-024,8850001024,Beverages - Tea,PHYSICAL,ACTIVE,0.70,2.75,150,30,Cup,POS
STORE-003,Battambang Outlet,ITEM-10026,Condensed Milk Iced Coffee,CON-026,8850001026,Beverages - Coffee,PHYSICAL,ACTIVE,0.65,2.50,220,40,Cup,POS
STORE-003,Battambang Outlet,ITEM-10027,Pork & Egg Bun,POR-027,8850001027,Food - Snacks,PHYSICAL,ACTIVE,0.80,2.20,60,15,Piece,POS
STORE-004,Kampot Riverside,ITEM-1001,Espresso Single,ESP-001,8850001001,Beverages - Coffee,PHYSICAL,ACTIVE,0.60,2.50,110,20,Cup,POS;WEB
STORE-004,Kampot Riverside,ITEM-1002,Iced Latte Large,LAT-002,8850001002,Beverages - Coffee,PHYSICAL,ACTIVE,0.90,3.75,95,20,Cup,POS;WEB
STORE-004,Kampot Riverside,ITEM-1005,Americano Iced,AME-005,8850001005,Beverages - Coffee,PHYSICAL,ACTIVE,0.55,2.75,130,25,Cup,POS;WEB
STORE-004,Kampot Riverside,ITEM-1006,Matcha Latte,MAT-006,8850001006,Beverages - Tea,PHYSICAL,ACTIVE,1.20,4.25,50,10,Cup,POS;WEB
STORE-004,Kampot Riverside,ITEM-10017,Cold Brew Original,COL-017,8850001017,Beverages - Cold Brew,PHYSICAL,ACTIVE,0.95,3.85,75,15,Bottle,POS;WEB
STORE-004,Kampot Riverside,ITEM-10028,Kampot Pepper Cold Brew,PEP-028,8850001028,Beverages - Specialty,PHYSICAL,ACTIVE,1.20,4.50,60,10,Bottle,POS;WEB
STORE-004,Kampot Riverside,ITEM-10029,Salted Caramel Tart,SAL-029,8850001029,Dessert,PHYSICAL,ACTIVE,1.40,4.00,25,5,Piece,POS;WEB
STORE-004,Kampot Riverside,ITEM-10030,Fresh Coconut Water,COC-030,8850001030,Beverages - Fresh,PHYSICAL,ACTIVE,0.80,2.50,80,15,Item,POS;WEB
STORE-005,Airport Express Kiosk,ITEM-1001,Espresso Single,ESP-001,8850001001,Beverages - Coffee,PHYSICAL,ACTIVE,0.60,3.20,300,50,Cup,POS
STORE-005,Airport Express Kiosk,ITEM-1002,Iced Latte Large,LAT-002,8850001002,Beverages - Coffee,PHYSICAL,ACTIVE,0.90,4.50,250,40,Cup,POS
STORE-005,Airport Express Kiosk,ITEM-1003,Croissant Butter,CRO-003,8850001003,Bakery,PHYSICAL,ACTIVE,0.70,3.00,100,20,Piece,POS
STORE-005,Airport Express Kiosk,ITEM-1005,Americano Iced,AME-005,8850001005,Beverages - Coffee,PHYSICAL,ACTIVE,0.55,3.50,280,45,Cup,POS
STORE-005,Airport Express Kiosk,ITEM-10014,Club Sandwich,CLU-014,8850001014,Food - Lunch,PHYSICAL,ACTIVE,2.10,7.50,60,15,Portion,POS
STORE-005,Airport Express Kiosk,ITEM-10017,Cold Brew Original,COL-017,8850001017,Beverages - Cold Brew,PHYSICAL,ACTIVE,0.95,4.85,180,30,Bottle,POS
STORE-005,Airport Express Kiosk,ITEM-10020,Reusable Coffee Mug,MUG-020,8850001020,Merchandise,PHYSICAL,ACTIVE,4.50,15.00,80,15,Item,POS
STORE-005,Airport Express Kiosk,ITEM-10031,Bottled Mineral Water 500ml,WAT-031,8850001031,Beverages - Bottled,PHYSICAL,ACTIVE,0.20,1.50,500,100,Bottle,POS
STORE-005,Airport Express Kiosk,ITEM-10032,Energy Bar Almond & Honey,ENE-032,8850001032,Food - Snacks,PHYSICAL,ACTIVE,0.75,2.50,150,30,Item,POS
